S1,S2,human_sim,std,sim
"Someone spilt a drink accidentally on my shirt, so I changed it.","It appears to have shrunk, it wasn’t that size before I washed it.",0.48,0.72,0.18370607028753994
"I’m worried most seriously about the presentation, not the essay.",It is mostly very difficult to gain full marks in today’s exam.,0.77,0.82,0.14921770972037285
It is mostly very difficult to gain full marks in today’s exam.,"The exam was really difficult, I’ve got no idea if I’m going to pass.",2.54,0.98,0.19072356215213357
Meet me on the hill behind the church in half an hour.,Join me on the hill at the back of the church in thirty minutes time.,3.93,0.25,0.45848091302636756
"If you don’t console with a friend, there is a chance you may hurt their feelings.",One of the qualities of a good friend is the ability to console.,3.01,0.85,0.1743569449940641
"We tried to bargain with him but it made no difference, he still didn’t change his mind.","I tried bargaining with him, but he just wouldn’t listen.",3.43,0.54,0.3005341156999925
It gives me great pleasure to announce the winner of this year’s beauty pageant.,It’s a real pleasure to tell you who has won our annual beauty parade.,3.88,0.24,0.20706006322444678
They said they were hoping to go to America on holiday.,"I like to cover myself up in lots of layers, I don’t like the cold.",0.16,0.5,0.0834545983701979
Will I have to drive far to get to the nearest petrol station?,Is it much farther for me to drive to the next gas station?,3.84,0.37,0.2741477272727273
I think I know her from somewhere because she has a familiar face.,"You have a very familiar face, where do I know you from?",3.36,0.8,0.21450777202072538
I am sorry but I can’t go out as I have a heap of work to do.,I’ve a heap of things to finish so I can’t go out I’m afraid.,3.6,0.72,0.41061130334486734
The responsible man felt very guilty when he crashed into the back of someone’s car.,A slow driver can be annoying even though they are driving safely.,0.88,0.75,0.13762681958535508
Get that wet dog off my brand new white sofa.,Make that wet hound get off my white couch – I only just bought it.,3.59,0.86,0.31909028256374916
He fought in the war in Iraq before being killed in a car crash.,The prejudice I suffered whilst on holiday in Iraq was quite alarming.,0.55,0.65,0.08828939301042306
The cat was hungry so he went into the back garden to find lunch.,The hen walked about in the yard eating tasty grain.,1.2,0.82,0.1441840647635279
My bedroom wall is lemon coloured but my mother says it is yellow.,"Roses can be different colours, it has to be said red is the best though.",0.68,0.77,0.14971788479202205
Would you like to drink this wine with your meal?,Will you drink a glass of wine while you eat?,3.56,0.65,0.2104385362503679
"Roses can be different colours, it has to be said red is the best though.","Roses come in many varieties and colours, but yellow is my favourite.",2.83,0.9,0.16533459767000813
Flies can also carry a lot of disease and cause maggots.,I dry my hair after I wash it or I will get ill.,0.12,0.28,0.1177895888697827
Could you climb up the tree and save my cat from jumping please?,Can you get up that tree and rescue my cat otherwise it might jump?,3.83,0.34,0.3443238731218698
"The pleasure that I get from studying, is that I learn new things.","I have a doubt about this exam, we never got to study for it.",0.74,0.76,0.21021174863387979
The perpetrators of war crimes are rotten to the core.,"There are many global issues that everybody should be aware of, such as the threat of terrorism.",0.95,0.91,0.05413265784782813
The damp was mostly in the very corner of the room.,The young lady was somewhat partially burnt from the sun.,0.11,0.31,0.0689989235737352
We often ran to school because we were always late.,I knew I was late for my class so I ran all the way to school.,3.1,0.85,0.2110994595466645
"I hope you’re taking this seriously, if not you can get out of here.",The difficult course meant that only the strong would survive.,0.5,0.87,0.15229555236728837
"I bought a new guitar today, do you like it?",The weapon choice reflects the personality of the carrier.,0.16,0.34,0.1024746192893401
I am so hungry I could eat a whole horse plus dessert.,"I could have eaten another meal, I’m still starving.",3.06,0.85,0.2077500695281357
