S1,S2,human_sim,std,sim
My bedroom wall is lemon coloured but my mother says it is yellow.,"Roses can be different colours, it has to be said red is the best though.",0.68,0.77,0.0
Would you like to drink this wine with your meal?,Will you drink a glass of wine while you eat?,3.56,0.65,0.057692307692307696
"Roses can be different colours, it has to be said red is the best though.","Roses come in many varieties and colours, but yellow is my favourite.",2.83,0.9,0.16666666666666666
Flies can also carry a lot of disease and cause maggots.,I dry my hair after I wash it or I will get ill.,0.12,0.28,0.0
Could you climb up the tree and save my cat from jumping please?,Can you get up that tree and rescue my cat otherwise it might jump?,3.83,0.34,0.18181818181818182
"The pleasure that I get from studying, is that I learn new things.","I have a doubt about this exam, we never got to study for it.",0.74,0.76,0.0
The perpetrators of war crimes are rotten to the core.,"There are many global issues that everybody should be aware of, such as the threat of terrorism.",0.95,0.91,0.0
The damp was mostly in the very corner of the room.,The young lady was somewhat partially burnt from the sun.,0.11,0.31,0.0
We often ran to school because we were always late.,I knew I was late for my class so I ran all the way to school.,3.1,0.85,0.375
"I hope you’re taking this seriously, if not you can get out of here.",The difficult course meant that only the strong would survive.,0.5,0.87,0.0
"I bought a new guitar today, do you like it?",The weapon choice reflects the personality of the carrier.,0.16,0.34,0.0
I am so hungry I could eat a whole horse plus dessert.,"I could have eaten another meal, I’m still starving.",3.06,0.85,0.0
