S1,S2,human_sim,std,sim
I think I know her from somewhere because she has a familiar face.,"You have a very familiar face, where do I know you from?",3.36,0.8,0.981521487236023
I am sorry but I can’t go out as I have a heap of work to do.,I’ve a heap of things to finish so I can’t go out I’m afraid.,3.6,0.72,0.9837161898612976
The responsible man felt very guilty when he crashed into the back of someone’s car.,A slow driver can be annoying even though they are driving safely.,0.88,0.75,0.9176196455955505
Get that wet dog off my brand new white sofa.,Make that wet hound get off my white couch – I only just bought it.,3.59,0.86,0.9738981127738953
He fought in the war in Iraq before being killed in a car crash.,The prejudice I suffered whilst on holiday in Iraq was quite alarming.,0.55,0.65,0.9336121678352356
The cat was hungry so he went into the back garden to find lunch.,The hen walked about in the yard eating tasty grain.,1.2,0.82,0.9193837642669678
My bedroom wall is lemon coloured but my mother says it is yellow.,"Roses can be different colours, it has to be said red is the best though.",0.68,0.77,0.9090701341629028
Would you like to drink this wine with your meal?,Will you drink a glass of wine while you eat?,3.56,0.65,0.9880178570747375
"Roses can be different colours, it has to be said red is the best though.","Roses come in many varieties and colours, but yellow is my favourite.",2.83,0.9,0.9469777345657349
Flies can also carry a lot of disease and cause maggots.,I dry my hair after I wash it or I will get ill.,0.12,0.28,0.8727716207504272
Could you climb up the tree and save my cat from jumping please?,Can you get up that tree and rescue my cat otherwise it might jump?,3.83,0.34,0.9816431999206543
"The pleasure that I get from studying, is that I learn new things.","I have a doubt about this exam, we never got to study for it.",0.74,0.76,0.9822214245796204
The perpetrators of war crimes are rotten to the core.,"There are many global issues that everybody should be aware of, such as the threat of terrorism.",0.95,0.91,0.9433344006538391
The damp was mostly in the very corner of the room.,The young lady was somewhat partially burnt from the sun.,0.11,0.31,0.9450075030326843
We often ran to school because we were always late.,I knew I was late for my class so I ran all the way to school.,3.1,0.85,0.9756410717964172
"I hope you’re taking this seriously, if not you can get out of here.",The difficult course meant that only the strong would survive.,0.5,0.87,0.9544082283973694
"I bought a new guitar today, do you like it?",The weapon choice reflects the personality of the carrier.,0.16,0.34,0.8402109146118164
I am so hungry I could eat a whole horse plus dessert.,"I could have eaten another meal, I’m still starving.",3.06,0.85,0.9493069052696228
